ticker,ret,dias,bucket,recuperado
QQQ,-1.6871943437672399,39.0,Leve (-1% a -3%),True
QQQ,-1.419268025248377,3.0,Leve (-1% a -3%),True
QQQ,-1.1469859830142481,1.0,Leve (-1% a -3%),True
QQQ,-1.1844423530682713,7.0,Leve (-1% a -3%),True
QQQ,-1.883458063835175,1.0,Leve (-1% a -3%),True
QQQ,-2.8185084438620556,5.0,Leve (-1% a -3%),True
QQQ,-2.0937151357381945,6.0,Leve (-1% a -3%),True
QQQ,-1.2515739456040231,2.0,Leve (-1% a -3%),True
QQQ,-1.089076649763454,8.0,Leve (-1% a -3%),True
QQQ,-2.0615514988564176,7.0,Leve (-1% a -3%),True
QQQ,-2.3614992495367138,4.0,Leve (-1% a -3%),True
QQQ,-2.057045202211527,7.0,Leve (-1% a -3%),True
QQQ,-1.0420322277033378,13.0,Leve (-1% a -3%),True
QQQ,-2.612019468787563,8.0,Leve (-1% a -3%),True
QQQ,-1.2724908439522675,2.0,Leve (-1% a -3%),True
QQQ,-1.154230261431266,10.0,Leve (-1% a -3%),True
